"Rank","Team","Record","Points","PV.Rank","Voter","Week"
5,"Clemson","7-0",1337,"3","adam-zucker","Week 8"
6,"Louisville","5-1",1168,"7","adam-zucker","Week 8"
7,"Texas A&M","6-0",1218,"6","adam-zucker","Week 8"
8,"Wisconsin","4-2",935,"8","adam-zucker","Week 8"
9,"Baylor","6-0",1021,"11","adam-zucker","Week 8"
10,"Nebraska","6-0",1037,"10","adam-zucker","Week 8"
11,"Houston","6-1",766,"13","adam-zucker","Week 8"
12,"Oklahoma","4-2",612,"19","adam-zucker","Week 8"
13,"Florida State","5-2",733,"14","adam-zucker","Week 8"
14,"Arkansas","5-2",584,"22","adam-zucker","Week 8"
15,"West Virginia","5-0",744,"20","adam-zucker","Week 8"
16,"Miami","4-2",69,"16","adam-zucker","Week 8"
17,"Tennessee","5-2",550,"9","adam-zucker","Week 8"
18,"Boise State","6-0",694,"15","adam-zucker","Week 8"
19,"Utah","6-1",479,"21","adam-zucker","Week 8"
20,"Washington State","4-2",39,"-","adam-zucker","Week 8"
21,"Colorado","5-2",110,"-","adam-zucker","Week 8"
22,"Florida","5-1",626,"18","adam-zucker","Week 8"
23,"Mississippi","3-3",188,"12","adam-zucker","Week 8"
24,"Western Michigan","7-0",285,"24","adam-zucker","Week 8"
25,"Navy","4-1",163,"25","adam-zucker","Week 8"
1,"Alabama","7-0",1524,"1","andy-greder","Week 8"
2,"Ohio State","6-0",1457,"2","andy-greder","Week 8"
3,"Michigan","6-0",1368,"4","andy-greder","Week 8"
4,"Clemson","7-0",1337,"3","andy-greder","Week 8"
5,"Washington","6-0",1304,"5","andy-greder","Week 8"
6,"Louisville","5-1",1168,"7","andy-greder","Week 8"
7,"Texas A&M","6-0",1218,"6","andy-greder","Week 8"
8,"Wisconsin","4-2",935,"8","andy-greder","Week 8"
9,"Nebraska","6-0",1037,"10","andy-greder","Week 8"
10,"Oklahoma","4-2",612,"19","andy-greder","Week 8"
11,"Baylor","6-0",1021,"11","andy-greder","Week 8"
12,"Florida","5-1",626,"18","andy-greder","Week 8"
13,"Florida State","5-2",733,"14","andy-greder","Week 8"
14,"Boise State","6-0",694,"15","andy-greder","Week 8"
15,"Auburn","4-2",277,"23","andy-greder","Week 8"
16,"Arkansas","5-2",584,"22","andy-greder","Week 8"
17,"Mississippi","3-3",188,"12","andy-greder","Week 8"
18,"Tennessee","5-2",550,"9","andy-greder","Week 8"
19,"Utah","6-1",479,"21","andy-greder","Week 8"
20,"Houston","6-1",766,"13","andy-greder","Week 8"
21,"Oklahoma State","4-2",47,"-","andy-greder","Week 8"
22,"West Virginia","5-0",744,"20","andy-greder","Week 8"
23,"Western Michigan","7-0",285,"24","andy-greder","Week 8"
24,"North Carolina","5-2",254,"-","andy-greder","Week 8"
25,"Colorado","5-2",110,"-","andy-greder","Week 8"
1,"Alabama","7-0",1524,"1","bill-landis","Week 8"
2,"Ohio State","6-0",1457,"2","bill-landis","Week 8"
3,"Clemson","7-0",1337,"3","bill-landis","Week 8"
4,"Michigan","6-0",1368,"4","bill-landis","Week 8"
5,"Louisville","5-1",1168,"7","bill-landis","Week 8"
6,"Washington","6-0",1304,"5","bill-landis","Week 8"
7,"Texas A&M","6-0",1218,"6","bill-landis","Week 8"
8,"Wisconsin","4-2",935,"8","bill-landis","Week 8"
9,"Baylor","6-0",1021,"11","bill-landis","Week 8"
10,"Tennessee","5-2",550,"9","bill-landis","Week 8"
11,"Nebraska","6-0",1037,"10","bill-landis","Week 8"
12,"Houston","6-1",766,"13","bill-landis","Week 8"
13,"Florida State","5-2",733,"14","bill-landis","Week 8"
14,"Florida","5-1",626,"18","bill-landis","Week 8"
15,"West Virginia","5-0",744,"20","bill-landis","Week 8"
16,"Western Michigan","7-0",285,"24","bill-landis","Week 8"
17,"Boise State","6-0",694,"15","bill-landis","Week 8"
18,"Arkansas","5-2",584,"22","bill-landis","Week 8"
19,"Utah","6-1",479,"21","bill-landis","Week 8"
20,"North Carolina","5-2",254,"-","bill-landis","Week 8"
21,"Mississippi","3-3",188,"12","bill-landis","Week 8"
22,"South Florida","6-1",31,"-","bill-landis","Week 8"
23,"San Diego State","5-1",3,"-","bill-landis","Week 8"
24,"Colorado","5-2",110,"-","bill-landis","Week 8"
25,"Auburn","4-2",277,"23","bill-landis","Week 8"
1,"Alabama","7-0",1524,"1","bob-asmussen","Week 8"
2,"Ohio State","6-0",1457,"2","bob-asmussen","Week 8"
3,"Michigan","6-0",1368,"4","bob-asmussen","Week 8"
4,"Clemson","7-0",1337,"3","bob-asmussen","Week 8"
5,"Washington","6-0",1304,"5","bob-asmussen","Week 8"
6,"Texas A&M","6-0",1218,"6","bob-asmussen","Week 8"
7,"Louisville","5-1",1168,"7","bob-asmussen","Week 8"
8,"Nebraska","6-0",1037,"10","bob-asmussen","Week 8"
9,"Baylor","6-0",1021,"11","bob-asmussen","Week 8"
10,"Wisconsin","4-2",935,"8","bob-asmussen","Week 8"
11,"Florida","5-1",626,"18","bob-asmussen","Week 8"
12,"West Virginia","5-0",744,"20","bob-asmussen","Week 8"
13,"Houston","6-1",766,"13","bob-asmussen","Week 8"
14,"Oklahoma","4-2",612,"19","bob-asmussen","Week 8"
15,"Navy","4-1",163,"25","bob-asmussen","Week 8"
16,"Boise State","6-0",694,"15","bob-asmussen","Week 8"
17,"Florida State","5-2",733,"14","bob-asmussen","Week 8"
18,"Arkansas","5-2",584,"22","bob-asmussen","Week 8"
19,"Tennessee","5-2",550,"9","bob-asmussen","Week 8"
20,"Western Michigan","7-0",285,"24","bob-asmussen","Week 8"
21,"Utah","6-1",479,"21","bob-asmussen","Week 8"
22,"Auburn","4-2",277,"23","bob-asmussen","Week 8"
23,"Colorado","5-2",110,"-","bob-asmussen","Week 8"
24,"North Carolina","5-2",254,"-","bob-asmussen","Week 8"
25,"Miami","4-2",69,"16","bob-asmussen","Week 8"
1,"Alabama","7-0",1524,"1","brent-axe","Week 8"
2,"Ohio State","6-0",1457,"2","brent-axe","Week 8"
3,"Clemson","7-0",1337,"3","brent-axe","Week 8"
4,"Michigan","6-0",1368,"4","brent-axe","Week 8"
5,"Washington","6-0",1304,"5","brent-axe","Week 8"
6,"Texas A&M","6-0",1218,"6","brent-axe","Week 8"
7,"Louisville","5-1",1168,"7","brent-axe","Week 8"
8,"Nebraska","6-0",1037,"10","brent-axe","Week 8"
9,"Baylor","6-0",1021,"11","brent-axe","Week 8"
10,"Boise State","6-0",694,"15","brent-axe","Week 8"
11,"Florida","5-1",626,"18","brent-axe","Week 8"
12,"West Virginia","5-0",744,"20","brent-axe","Week 8"
13,"Wisconsin","4-2",935,"8","brent-axe","Week 8"
14,"Tennessee","5-2",550,"9","brent-axe","Week 8"
15,"Navy","4-1",163,"25","brent-axe","Week 8"
16,"Houston","6-1",766,"13","brent-axe","Week 8"
17,"Utah","6-1",479,"21","brent-axe","Week 8"
18,"Florida State","5-2",733,"14","brent-axe","Week 8"
19,"Oklahoma","4-2",612,"19","brent-axe","Week 8"
20,"Arkansas","5-2",584,"22","brent-axe","Week 8"
21,"Western Michigan","7-0",285,"24","brent-axe","Week 8"
22,"North Carolina","5-2",254,"-","brent-axe","Week 8"
23,"Washington State","4-2",39,"-","brent-axe","Week 8"
24,"Auburn","4-2",277,"23","brent-axe","Week 8"
25,"Colorado","5-2",110,"-","brent-axe","Week 8"
1,"Alabama","7-0",1524,"1","brett-mcmurphy","Week 8"
2,"Ohio State","6-0",1457,"2","brett-mcmurphy","Week 8"
3,"Washington","6-0",1304,"5","brett-mcmurphy","Week 8"
4,"Clemson","7-0",1337,"3","brett-mcmurphy","Week 8"
5,"Texas A&M","6-0",1218,"6","brett-mcmurphy","Week 8"
6,"Michigan","6-0",1368,"4","brett-mcmurphy","Week 8"
7,"Louisville","5-1",1168,"7","brett-mcmurphy","Week 8"
8,"Nebraska","6-0",1037,"10","brett-mcmurphy","Week 8"
9,"Baylor","6-0",1021,"11","brett-mcmurphy","Week 8"
10,"Wisconsin","4-2",935,"8","brett-mcmurphy","Week 8"
11,"West Virginia","5-0",744,"20","brett-mcmurphy","Week 8"
12,"Boise State","6-0",694,"15","brett-mcmurphy","Week 8"
13,"Florida State","5-2",733,"14","brett-mcmurphy","Week 8"
14,"Utah","6-1",479,"21","brett-mcmurphy","Week 8"
15,"Tennessee","5-2",550,"9","brett-mcmurphy","Week 8"
16,"Florida","5-1",626,"18","brett-mcmurphy","Week 8"
17,"Houston","6-1",766,"13","brett-mcmurphy","Week 8"
18,"Oklahoma","4-2",612,"19","brett-mcmurphy","Week 8"
19,"Arkansas","5-2",584,"22","brett-mcmurphy","Week 8"
20,"Western Michigan","7-0",285,"24","brett-mcmurphy","Week 8"
21,"Washington State","4-2",39,"-","brett-mcmurphy","Week 8"
22,"Navy","4-1",163,"25","brett-mcmurphy","Week 8"
23,"Auburn","4-2",277,"23","brett-mcmurphy","Week 8"
24,"Colorado","5-2",110,"-","brett-mcmurphy","Week 8"
25,"South Florida","6-1",31,"-","brett-mcmurphy","Week 8"
1,"Alabama","7-0",1524,"1","brian-howell","Week 8"
2,"Ohio State","6-0",1457,"2","brian-howell","Week 8"
3,"Clemson","7-0",1337,"3","brian-howell","Week 8"
4,"Michigan","6-0",1368,"4","brian-howell","Week 8"
5,"Washington","6-0",1304,"5","brian-howell","Week 8"
6,"Louisville","5-1",1168,"7","brian-howell","Week 8"
7,"Texas A&M","6-0",1218,"6","brian-howell","Week 8"
8,"Baylor","6-0",1021,"11","brian-howell","Week 8"
9,"Oklahoma","4-2",612,"19","brian-howell","Week 8"
10,"Nebraska","6-0",1037,"10","brian-howell","Week 8"
11,"Wisconsin","4-2",935,"8","brian-howell","Week 8"
12,"Florida State","5-2",733,"14","brian-howell","Week 8"
13,"Boise State","6-0",694,"15","brian-howell","Week 8"
14,"Florida","5-1",626,"18","brian-howell","Week 8"
15,"Houston","6-1",766,"13","brian-howell","Week 8"
16,"Arkansas","5-2",584,"22","brian-howell","Week 8"
17,"Auburn","4-2",277,"23","brian-howell","Week 8"
18,"Tennessee","5-2",550,"9","brian-howell","Week 8"
19,"West Virginia","5-0",744,"20","brian-howell","Week 8"
20,"Utah","6-1",479,"21","brian-howell","Week 8"
21,"Mississippi","3-3",188,"12","brian-howell","Week 8"
22,"North Carolina","5-2",254,"-","brian-howell","Week 8"
23,"Miami","4-2",69,"16","brian-howell","Week 8"
24,"Western Michigan","7-0",285,"24","brian-howell","Week 8"
25,"Colorado","5-2",110,"-","brian-howell","Week 8"
1,"Alabama","7-0",1524,"1","chris-murray","Week 8"
2,"Ohio State","6-0",1457,"2","chris-murray","Week 8"
3,"Michigan","6-0",1368,"4","chris-murray","Week 8"
4,"Clemson","7-0",1337,"3","chris-murray","Week 8"
5,"Texas A&M","6-0",1218,"6","chris-murray","Week 8"
6,"Washington","6-0",1304,"5","chris-murray","Week 8"
7,"Louisville","5-1",1168,"7","chris-murray","Week 8"
8,"Baylor","6-0",1021,"11","chris-murray","Week 8"
9,"Nebraska","6-0",1037,"10","chris-murray","Week 8"
10,"Wisconsin","4-2",935,"8","chris-murray","Week 8"
11,"Florida","5-1",626,"18","chris-murray","Week 8"
12,"Arkansas","5-2",584,"22","chris-murray","Week 8"
13,"Boise State","6-0",694,"15","chris-murray","Week 8"
14,"Houston","6-1",766,"13","chris-murray","Week 8"
15,"Oklahoma","4-2",612,"19","chris-murray","Week 8"
16,"Florida State","5-2",733,"14","chris-murray","Week 8"
17,"West Virginia","5-0",744,"20","chris-murray","Week 8"
18,"Utah","6-1",479,"21","chris-murray","Week 8"
19,"Tennessee","5-2",550,"9","chris-murray","Week 8"
20,"Western Michigan","7-0",285,"24","chris-murray","Week 8"
21,"Navy","4-1",163,"25","chris-murray","Week 8"
22,"Mississippi","3-3",188,"12","chris-murray","Week 8"
23,"Auburn","4-2",277,"23","chris-murray","Week 8"
24,"Colorado","5-2",110,"-","chris-murray","Week 8"
25,"LSU","4-2",123,"-","chris-murray","Week 8"
1,"Alabama","7-0",1524,"1","chuck-carlton","Week 8"
2,"Ohio State","6-0",1457,"2","chuck-carlton","Week 8"
3,"Michigan","6-0",1368,"4","chuck-carlton","Week 8"
4,"Washington","6-0",1304,"5","chuck-carlton","Week 8"
5,"Texas A&M","6-0",1218,"6","chuck-carlton","Week 8"
6,"Clemson","7-0",1337,"3","chuck-carlton","Week 8"
7,"Louisville","5-1",1168,"7","chuck-carlton","Week 8"
8,"Baylor","6-0",1021,"11","chuck-carlton","Week 8"
9,"Nebraska","6-0",1037,"10","chuck-carlton","Week 8"
10,"Wisconsin","4-2",935,"8","chuck-carlton","Week 8"
11,"West Virginia","5-0",744,"20","chuck-carlton","Week 8"
12,"Houston","6-1",766,"13","chuck-carlton","Week 8"
13,"Oklahoma","4-2",612,"19","chuck-carlton","Week 8"
14,"Florida State","5-2",733,"14","chuck-carlton","Week 8"
15,"Boise State","6-0",694,"15","chuck-carlton","Week 8"
16,"Utah","6-1",479,"21","chuck-carlton","Week 8"
17,"Arkansas","5-2",584,"22","chuck-carlton","Week 8"
18,"Tennessee","5-2",550,"9","chuck-carlton","Week 8"
19,"Florida","5-1",626,"18","chuck-carlton","Week 8"
20,"Mississippi","3-3",188,"12","chuck-carlton","Week 8"
21,"Auburn","4-2",277,"23","chuck-carlton","Week 8"
22,"Oklahoma State","4-2",47,"-","chuck-carlton","Week 8"
23,"Colorado","5-2",110,"-","chuck-carlton","Week 8"
24,"Western Michigan","7-0",285,"24","chuck-carlton","Week 8"
25,"North Carolina","5-2",254,"-","chuck-carlton","Week 8"
1,"Alabama","7-0",1524,"1","dana-sulonen","Week 8"
2,"Ohio State","6-0",1457,"2","dana-sulonen","Week 8"
3,"Michigan","6-0",1368,"4","dana-sulonen","Week 8"
4,"Clemson","7-0",1337,"3","dana-sulonen","Week 8"
5,"Washington","6-0",1304,"5","dana-sulonen","Week 8"
6,"Texas A&M","6-0",1218,"6","dana-sulonen","Week 8"
7,"Louisville","5-1",1168,"7","dana-sulonen","Week 8"
8,"Baylor","6-0",1021,"11","dana-sulonen","Week 8"
9,"West Virginia","5-0",744,"20","dana-sulonen","Week 8"
10,"Wisconsin","4-2",935,"8","dana-sulonen","Week 8"
11,"Nebraska","6-0",1037,"10","dana-sulonen","Week 8"
12,"Boise State","6-0",694,"15","dana-sulonen","Week 8"
13,"Houston","6-1",766,"13","dana-sulonen","Week 8"
14,"Florida","5-1",626,"18","dana-sulonen","Week 8"
15,"Florida State","5-2",733,"14","dana-sulonen","Week 8"
16,"Oklahoma","4-2",612,"19","dana-sulonen","Week 8"
17,"Tennessee","5-2",550,"9","dana-sulonen","Week 8"
18,"Utah","6-1",479,"21","dana-sulonen","Week 8"
19,"Arkansas","5-2",584,"22","dana-sulonen","Week 8"
20,"Mississippi","3-3",188,"12","dana-sulonen","Week 8"
21,"Auburn","4-2",277,"23","dana-sulonen","Week 8"
22,"Western Michigan","7-0",285,"24","dana-sulonen","Week 8"
23,"North Carolina","5-2",254,"-","dana-sulonen","Week 8"
24,"Miami","4-2",69,"16","dana-sulonen","Week 8"
25,"Colorado","5-2",110,"-","dana-sulonen","Week 8"
1,"Alabama","7-0",1524,"1","dave-southorn","Week 8"
2,"Ohio State","6-0",1457,"2","dave-southorn","Week 8"
3,"Michigan","6-0",1368,"4","dave-southorn","Week 8"
4,"Clemson","7-0",1337,"3","dave-southorn","Week 8"
5,"Washington","6-0",1304,"5","dave-southorn","Week 8"
6,"Texas A&M","6-0",1218,"6","dave-southorn","Week 8"
7,"Louisville","5-1",1168,"7","dave-southorn","Week 8"
8,"Nebraska","6-0",1037,"10","dave-southorn","Week 8"
9,"Wisconsin","4-2",935,"8","dave-southorn","Week 8"
10,"Baylor","6-0",1021,"11","dave-southorn","Week 8"
11,"Florida State","5-2",733,"14","dave-southorn","Week 8"
12,"Arkansas","5-2",584,"22","dave-southorn","Week 8"
13,"Boise State","6-0",694,"15","dave-southorn","Week 8"
14,"West Virginia","5-0",744,"20","dave-southorn","Week 8"
15,"Houston","6-1",766,"13","dave-southorn","Week 8"
16,"Florida","5-1",626,"18","dave-southorn","Week 8"
17,"Oklahoma","4-2",612,"19","dave-southorn","Week 8"
18,"Tennessee","5-2",550,"9","dave-southorn","Week 8"
19,"Utah","6-1",479,"21","dave-southorn","Week 8"
20,"Western Michigan","7-0",285,"24","dave-southorn","Week 8"
21,"Auburn","4-2",277,"23","dave-southorn","Week 8"
22,"LSU","4-2",123,"-","dave-southorn","Week 8"
23,"Navy","4-1",163,"25","dave-southorn","Week 8"
24,"Colorado","5-2",110,"-","dave-southorn","Week 8"
25,"Washington State","4-2",39,"-","dave-southorn","Week 8"
1,"Alabama","7-0",1524,"1","david-briggs","Week 8"
2,"Ohio State","6-0",1457,"2","david-briggs","Week 8"
3,"Michigan","6-0",1368,"4","david-briggs","Week 8"
4,"Washington","6-0",1304,"5","david-briggs","Week 8"
5,"Clemson","7-0",1337,"3","david-briggs","Week 8"
6,"Texas A&M","6-0",1218,"6","david-briggs","Week 8"
7,"Louisville","5-1",1168,"7","david-briggs","Week 8"
8,"Wisconsin","4-2",935,"8","david-briggs","Week 8"
9,"Nebraska","6-0",1037,"10","david-briggs","Week 8"
10,"Florida State","5-2",733,"14","david-briggs","Week 8"
11,"Boise State","6-0",694,"15","david-briggs","Week 8"
12,"West Virginia","5-0",744,"20","david-briggs","Week 8"
13,"Baylor","6-0",1021,"11","david-briggs","Week 8"
14,"Houston","6-1",766,"13","david-briggs","Week 8"
15,"Oklahoma","4-2",612,"19","david-briggs","Week 8"
16,"Arkansas","5-2",584,"22","david-briggs","Week 8"
17,"Tennessee","5-2",550,"9","david-briggs","Week 8"
18,"Florida","5-1",626,"18","david-briggs","Week 8"
19,"Utah","6-1",479,"21","david-briggs","Week 8"
20,"Western Michigan","7-0",285,"24","david-briggs","Week 8"
21,"Mississippi","3-3",188,"12","david-briggs","Week 8"
22,"Washington State","4-2",39,"-","david-briggs","Week 8"
23,"Auburn","4-2",277,"23","david-briggs","Week 8"
24,"Navy","4-1",163,"25","david-briggs","Week 8"
25,"North Carolina","5-2",254,"-","david-briggs","Week 8"
1,"Alabama","7-0",1524,"1","ed-daigneault","Week 8"
2,"Clemson","7-0",1337,"3","ed-daigneault","Week 8"
3,"Ohio State","6-0",1457,"2","ed-daigneault","Week 8"
4,"Michigan","6-0",1368,"4","ed-daigneault","Week 8"
5,"Louisville","5-1",1168,"7","ed-daigneault","Week 8"
6,"Washington","6-0",1304,"5","ed-daigneault","Week 8"
7,"Texas A&M","6-0",1218,"6","ed-daigneault","Week 8"
8,"Baylor","6-0",1021,"11","ed-daigneault","Week 8"
9,"Nebraska","6-0",1037,"10","ed-daigneault","Week 8"
10,"Houston","6-1",766,"13","ed-daigneault","Week 8"
11,"Wisconsin","4-2",935,"8","ed-daigneault","Week 8"
12,"Boise State","6-0",694,"15","ed-daigneault","Week 8"
13,"West Virginia","5-0",744,"20","ed-daigneault","Week 8"
14,"Florida","5-1",626,"18","ed-daigneault","Week 8"
15,"Oklahoma","4-2",612,"19","ed-daigneault","Week 8"
16,"Arkansas","5-2",584,"22","ed-daigneault","Week 8"
17,"Florida State","5-2",733,"14","ed-daigneault","Week 8"
18,"Tennessee","5-2",550,"9","ed-daigneault","Week 8"
19,"Mississippi","3-3",188,"12","ed-daigneault","Week 8"
20,"Auburn","4-2",277,"23","ed-daigneault","Week 8"
21,"South Florida","6-1",31,"-","ed-daigneault","Week 8"
22,"Utah","6-1",479,"21","ed-daigneault","Week 8"
23,"North Carolina","5-2",254,"-","ed-daigneault","Week 8"
24,"Western Michigan","7-0",285,"24","ed-daigneault","Week 8"
25,"Virginia Tech","4-2",38,"17","ed-daigneault","Week 8"
1,"Alabama","7-0",1524,"1","ed-johnson","Week 8"
2,"Clemson","7-0",1337,"3","ed-johnson","Week 8"
3,"Ohio State","6-0",1457,"2","ed-johnson","Week 8"
4,"Louisville","5-1",1168,"7","ed-johnson","Week 8"
5,"Michigan","6-0",1368,"4","ed-johnson","Week 8"
6,"Washington","6-0",1304,"5","ed-johnson","Week 8"
7,"Texas A&M","6-0",1218,"6","ed-johnson","Week 8"
8,"Wisconsin","4-2",935,"8","ed-johnson","Week 8"
9,"Baylor","6-0",1021,"11","ed-johnson","Week 8"
10,"West Virginia","5-0",744,"20","ed-johnson","Week 8"
11,"Arkansas","5-2",584,"22","ed-johnson","Week 8"
12,"Tennessee","5-2",550,"9","ed-johnson","Week 8"
13,"Nebraska","6-0",1037,"10","ed-johnson","Week 8"
14,"Mississippi","3-3",188,"12","ed-johnson","Week 8"
15,"Florida State","5-2",733,"14","ed-johnson","Week 8"
16,"Oklahoma","4-2",612,"19","ed-johnson","Week 8"
17,"Florida","5-1",626,"18","ed-johnson","Week 8"
18,"Houston","6-1",766,"13","ed-johnson","Week 8"
19,"Auburn","4-2",277,"23","ed-johnson","Week 8"
20,"LSU","4-2",123,"-","ed-johnson","Week 8"
21,"Boise State","6-0",694,"15","ed-johnson","Week 8"
22,"North Carolina","5-2",254,"-","ed-johnson","Week 8"
23,"Miami","4-2",69,"16","ed-johnson","Week 8"
24,"North Carolina State","4-2",4,"-","ed-johnson","Week 8"
25,"Western Michigan","7-0",285,"24","ed-johnson","Week 8"
1,"Alabama","7-0",1524,"1","eric-hansen","Week 8"
2,"Ohio State","6-0",1457,"2","eric-hansen","Week 8"
3,"Washington","6-0",1304,"5","eric-hansen","Week 8"
4,"Clemson","7-0",1337,"3","eric-hansen","Week 8"
5,"Texas A&M","6-0",1218,"6","eric-hansen","Week 8"
6,"Michigan","6-0",1368,"4","eric-hansen","Week 8"
7,"Louisville","5-1",1168,"7","eric-hansen","Week 8"
8,"Wisconsin","4-2",935,"8","eric-hansen","Week 8"
9,"Houston","6-1",766,"13","eric-hansen","Week 8"
10,"Nebraska","6-0",1037,"10","eric-hansen","Week 8"
11,"Florida State","5-2",733,"14","eric-hansen","Week 8"
12,"Tennessee","5-2",550,"9","eric-hansen","Week 8"
13,"Oklahoma","4-2",612,"19","eric-hansen","Week 8"
14,"West Virginia","5-0",744,"20","eric-hansen","Week 8"
15,"Baylor","6-0",1021,"11","eric-hansen","Week 8"
16,"Western Michigan","7-0",285,"24","eric-hansen","Week 8"
17,"Boise State","6-0",694,"15","eric-hansen","Week 8"
18,"Arkansas","5-2",584,"22","eric-hansen","Week 8"
19,"South Florida","6-1",31,"-","eric-hansen","Week 8"
20,"Auburn","4-2",277,"23","eric-hansen","Week 8"
21,"Utah","6-1",479,"21","eric-hansen","Week 8"
22,"Navy","4-1",163,"25","eric-hansen","Week 8"
23,"Virginia Tech","4-2",38,"17","eric-hansen","Week 8"
24,"North Carolina","5-2",254,"-","eric-hansen","Week 8"
25,"Miami","4-2",69,"16","eric-hansen","Week 8"
1,"Alabama","7-0",1524,"1","ferd-lewis","Week 8"
2,"Ohio State","6-0",1457,"2","ferd-lewis","Week 8"
3,"Michigan","6-0",1368,"4","ferd-lewis","Week 8"
4,"Clemson","7-0",1337,"3","ferd-lewis","Week 8"
5,"Washington","6-0",1304,"5","ferd-lewis","Week 8"
6,"Texas A&M","6-0",1218,"6","ferd-lewis","Week 8"
7,"Louisville","5-1",1168,"7","ferd-lewis","Week 8"
8,"Nebraska","6-0",1037,"10","ferd-lewis","Week 8"
9,"Baylor","6-0",1021,"11","ferd-lewis","Week 8"
10,"Wisconsin","4-2",935,"8","ferd-lewis","Week 8"
11,"Houston","6-1",766,"13","ferd-lewis","Week 8"
12,"Florida State","5-2",733,"14","ferd-lewis","Week 8"
13,"Tennessee","5-2",550,"9","ferd-lewis","Week 8"
14,"Florida","5-1",626,"18","ferd-lewis","Week 8"
15,"Oklahoma","4-2",612,"19","ferd-lewis","Week 8"
16,"Boise State","6-0",694,"15","ferd-lewis","Week 8"
17,"West Virginia","5-0",744,"20","ferd-lewis","Week 8"
18,"Arkansas","5-2",584,"22","ferd-lewis","Week 8"
19,"Utah","6-1",479,"21","ferd-lewis","Week 8"
20,"Mississippi","3-3",188,"12","ferd-lewis","Week 8"
21,"North Carolina","5-2",254,"-","ferd-lewis","Week 8"
22,"Auburn","4-2",277,"23","ferd-lewis","Week 8"
23,"Western Michigan","7-0",285,"24","ferd-lewis","Week 8"
24,"Colorado","5-2",110,"-","ferd-lewis","Week 8"
25,"Navy","4-1",163,"25","ferd-lewis","Week 8"
1,"Alabama","7-0",1524,"1","garland-gillen","Week 8"
2,"Ohio State","6-0",1457,"2","garland-gillen","Week 8"
3,"Michigan","6-0",1368,"4","garland-gillen","Week 8"
4,"Clemson","7-0",1337,"3","garland-gillen","Week 8"
5,"Texas A&M","6-0",1218,"6","garland-gillen","Week 8"
