"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Baylor","5-0",934,"Week 7",11,10,9,15,10,9,10,11,8,9,9,10,13,14,10,11,20,10,9,9,10,14,10,10,11,11,11,13,12,10,11,21,8,15,11,10,9,8,9,8,11,12,10,10,9,10,10,10,7,11,12,8,12,9,8,15,8,12,11,11,10,8
"Mississippi","3-2",800,"Week 7",12,14,18,9,15,11,20,12,11,12,13,9,11,11,9,8,13,11,18,10,12,11,12,11,14,14,12,11,13,11,12,15,9,11,13,19,14,12,16,12,13,16,11,13,17,21,18,12,14,10,10,13,11,13,11,11,13,8,15,14,12,21
"Houston","5-1",701,"Week 7",13,12,12,20,11,18,17,19,17,15,12,14,12,13,12,14,9,14,12,12,11,13,15,15,10,13,19,12,10,12,18,11,13,23,12,14,12,19,12,13,12,11,12,18,19,16,15,17,20,16,17,22,15,17,13,24,12,13,9,13,13,19
"Florida State","4-2",628,"Week 7",14,13,15,17,13,20,14,16,14,17,18,16,14,17,19,12,12,15,16,15,16,19,14,19,12,18,15,10,16,16,15,17,24,9,19,11,19,17,22,17,14,15,14,11,15,13,23,23,23,13,13,18,13,12,16,10,15,14,13,19,15,18
"Boise State","5-0",590,"Week 7",15,16,16,14,18,19,12,15,16,13,16,18,16,12,14,19,17,17,14,14,15,16,22,22,21,21,13,19,18,15,14,14,14,,17,8,13,13,14,11,23,18,19,22,13,11,14,15,18,18,14,16,17,16,12,16,19,22,20,16,21,14
"Miami","4-1",576,"Week 7",16,17,11,24,14,16,15,21,15,19,19,13,15,18,20,13,14,16,17,20,20,12,20,21,13,12,18,15,17,17,16,18,,12,20,12,21,18,15,18,15,17,15,12,16,15,24,18,24,15,15,20,14,14,17,12,16,15,17,12,16,13
"Virginia Tech","4-1",546,"Week 7",17,15,20,13,16,21,13,13,20,22,14,19,19,16,18,17,16,21,15,16,19,18,13,17,20,17,16,17,15,18,21,13,16,16,15,15,16,15,18,22,20,14,18,14,14,17,19,13,22,14,16,15,23,18,20,13,17,20,21,21,14,16
"Florida","4-1",483,"Week 7",18,21,23,16,17,13,18,17,18,14,24,15,17,20,16,22,,13,21,17,14,15,19,13,17,15,17,16,23,14,20,20,25,19,21,21,17,16,19,19,19,19,24,16,,14,13,22,16,,19,12,16,19,19,21,14,21,16,15,17,11
"Oklahoma","3-2",476,"Week 7",19,20,13,12,,15,19,20,12,16,17,17,22,15,17,21,15,18,,18,23,21,16,14,15,20,21,18,20,21,19,12,15,10,18,23,18,14,23,15,17,13,13,20,,24,16,19,13,17,18,19,20,15,18,,18,16,18,20,23,
"West Virginia","4-0",424,"Week 7",20,24,17,23,21,14,24,14,22,21,15,20,18,21,15,20,18,19,13,22,18,17,18,24,24,16,14,21,19,23,13,,17,21,14,20,20,21,11,,16,20,22,,12,20,17,,19,21,20,17,21,20,14,19,20,23,14,17,19,15
"Utah","5-1",287,"Week 7",21,19,19,19,22,25,23,18,23,20,20,21,20,19,24,,23,20,24,19,17,25,21,23,22,19,,22,14,20,,24,19,,23,24,23,23,20,23,21,22,20,,21,,21,21,17,20,22,14,18,21,22,22,23,19,22,22,18,17
"Arkansas","4-2",203,"Week 7",22,18,22,22,,,,,25,18,,,23,,21,16,25,22,19,,,20,,18,,,20,,,22,,10,,17,,,15,,24,,22,24,17,17,,19,20,24,,,21,,19,23,,,22,17,25,18,22,20
"Auburn","4-2",166,"Week 7",23,,,18,20,,,,19,,21,22,24,24,22,,22,,,21,25,,23,,18,,23,24,21,25,,,,20,,,,22,,,24,21,21,19,20,,12,14,,19,,,24,,24,17,25,18,,,20,
"Western Michigan","6-0",154,"Week 7",24,,24,25,19,23,22,22,24,23,25,24,21,22,25,25,19,24,25,25,24,,17,20,,23,24,25,,,22,,,22,16,22,22,25,,21,25,,25,21,23,,,20,25,24,23,25,22,25,25,25,24,25,19,23,25,22
"Navy","4-1",122,"Week 7",25,,,,,17,16,,,24,,,,25,,,24,25,20,23,21,,,25,25,22,25,,25,,17,19,21,,25,13,,20,,,,23,,25,18,25,,16,,25,24,21,,,,,,,,,,23
"Georgia","4-2",59,"Week 7",,,,,,,,23,21,,,,,,,18,,23,,,,,,16,,,,,22,19,23,,,25,22,,,,21,24,,,,,,,,,,23,,,,,,,,,,,,25
"Arizona State","5-1",53,"Week 7",,23,21,,,24,25,24,,,23,25,,,,,,,22,,,,,,23,,22,23,,24,,25,,,,,,,,25,,,,,25,22,,,21,,25,,,,23,,,,,,24,24
"North Carolina","4-2",51,"Week 7",,,,,,,,,,,,,,,,23,,,,,,23,,,,,,,24,,,,,,,17,25,,25,,,25,,,,23,22,,12,,,,,24,,20,,,,24,,
"LSU","3-2",50,"Week 7",,,,,,,,,,,,,,,,,,,,,,,25,,,,,20,,,,,,18,,,,,,20,18,,23,,22,,25,,,22,,,,,21,23,,,,25,,
"Oklahoma State","4-2",48,"Week 7",,25,,21,,,,,,,22,,,,,,,,,,,,,,19,24,,,,,24,,18,,,,,24,,16,,,,,,,,,,,,,25,22,,,,,24,,,
"North Dakota State","4-2",36,"Week 7",,22,25,,,22,21,,,25,,,,,,24,,,,,22,,,,,,,,,,,,,,,25,,,17,,,,,,,,,,,,,,,,,,,24,23,,,
"Stanford","3-2",26,"Week 7",,,,,,,,,,,,23,,,,,,,,,,22,,,,,,,,,,,20,,,,24,,,,,,,23,,18,,,,,,,,,,,,,,,,
"Colorado","4-2",22,"Week 7",,,,,25,,,,,,,,,,,,,,,,,24,,,,,,,,,,22,,,,,,,,,,,,,24,,,,,,,,,,,18,21,,,,,
"South Florida","5-1",20,"Week 7",,,,,23,,,,,,,,,,23,,21,,23,,,,24,,,,,,,,25,,,,,,,,,,,,,,,,,25,,,,24,,,,,,,,,,
"TCU","4-2",14,"Week 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,
"North Carolina State","4-1",9,"Week 7",,,,,,,,,,,,,,,,,,,,24,,,,,,25,,,,,,,22,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington State","3-2",9,"Week 7",,,,,,,,25,,,,,,23,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,23,,,,,,,,,,
"Iowa","4-2",3,"Week 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air Force","4-1",2,"Week 7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,
"San Diego State","4-1",2,"Week 7",,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wake Forest","5-1",1,"Week 7",,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
