"Rank","Team","Record","Points","PV.Rank","Voter","Week"
12,"Florida State","9-3",847,"15","dave-southorn","Week 14"
13,"Western Michigan","12-0",807,"14","dave-southorn","Week 14"
14,"West Virginia","9-2",726,"19","dave-southorn","Week 14"
15,"Florida","8-3",471,"13","dave-southorn","Week 14"
16,"Louisville","9-3",468,"11","dave-southorn","Week 14"
17,"Stanford","9-3",452,"-","dave-southorn","Week 14"
18,"Auburn","8-4",423,"16","dave-southorn","Week 14"
19,"Virginia Tech","9-3",420,"-","dave-southorn","Week 14"
20,"South Florida","10-2",168,"-","dave-southorn","Week 14"
21,"Navy","9-2",387,"-","dave-southorn","Week 14"
22,"LSU","7-4",338,"25","dave-southorn","Week 14"
23,"Nebraska","9-3",181,"17","dave-southorn","Week 14"
24,"Boise State","10-2",92,"20","dave-southorn","Week 14"
25,"Tulsa","9-3",1,"-","dave-southorn","Week 14"
1,"Alabama","12-0",1525,"1","david-briggs","Week 14"
2,"Ohio State","11-1",1456,"2","david-briggs","Week 14"
3,"Clemson","11-1",1383,"4","david-briggs","Week 14"
4,"Michigan","10-2",1264,"3","david-briggs","Week 14"
5,"Washington","11-1",1298,"6","david-briggs","Week 14"
6,"Oklahoma","9-2",1141,"7","david-briggs","Week 14"
7,"Wisconsin","10-2",1237,"5","david-briggs","Week 14"
8,"Penn State","10-2",1118,"8","david-briggs","Week 14"
9,"Colorado","10-2",1035,"9","david-briggs","Week 14"
10,"USC","9-3",948,"12","david-briggs","Week 14"
11,"Western Michigan","12-0",807,"14","david-briggs","Week 14"
12,"Florida State","9-3",847,"15","david-briggs","Week 14"
13,"Oklahoma State","9-2",931,"10","david-briggs","Week 14"
14,"West Virginia","9-2",726,"19","david-briggs","Week 14"
15,"Navy","9-2",387,"-","david-briggs","Week 14"
16,"Pittsburgh","8-4",168,"-","david-briggs","Week 14"
17,"Auburn","8-4",423,"16","david-briggs","Week 14"
18,"Florida","8-3",471,"13","david-briggs","Week 14"
19,"Stanford","9-3",452,"-","david-briggs","Week 14"
20,"LSU","7-4",338,"25","david-briggs","Week 14"
21,"Iowa","8-4",217,"-","david-briggs","Week 14"
22,"Houston","9-3",98,"18","david-briggs","Week 14"
23,"Virginia Tech","9-3",420,"-","david-briggs","Week 14"
24,"Louisville","9-3",468,"11","david-briggs","Week 14"
25,"South Florida","10-2",168,"-","david-briggs","Week 14"
1,"Alabama","12-0",1525,"1","ed-daigneault","Week 14"
2,"Ohio State","11-1",1456,"2","ed-daigneault","Week 14"
3,"Michigan","10-2",1264,"3","ed-daigneault","Week 14"
4,"Wisconsin","10-2",1237,"5","ed-daigneault","Week 14"
5,"Clemson","11-1",1383,"4","ed-daigneault","Week 14"
6,"Washington","11-1",1298,"6","ed-daigneault","Week 14"
7,"Oklahoma","9-2",1141,"7","ed-daigneault","Week 14"
8,"Penn State","10-2",1118,"8","ed-daigneault","Week 14"
9,"Colorado","10-2",1035,"9","ed-daigneault","Week 14"
10,"Oklahoma State","9-2",931,"10","ed-daigneault","Week 14"
11,"Western Michigan","12-0",807,"14","ed-daigneault","Week 14"
12,"USC","9-3",948,"12","ed-daigneault","Week 14"
13,"West Virginia","9-2",726,"19","ed-daigneault","Week 14"
14,"Louisville","9-3",468,"11","ed-daigneault","Week 14"
15,"Florida State","9-3",847,"15","ed-daigneault","Week 14"
16,"Auburn","8-4",423,"16","ed-daigneault","Week 14"
17,"South Florida","10-2",168,"-","ed-daigneault","Week 14"
18,"Virginia Tech","9-3",420,"-","ed-daigneault","Week 14"
19,"Stanford","9-3",452,"-","ed-daigneault","Week 14"
20,"Florida","8-3",471,"13","ed-daigneault","Week 14"
21,"Navy","9-2",387,"-","ed-daigneault","Week 14"
22,"Houston","9-3",98,"18","ed-daigneault","Week 14"
23,"Nebraska","9-3",181,"17","ed-daigneault","Week 14"
24,"Boise State","10-2",92,"20","ed-daigneault","Week 14"
25,"Utah","8-4",88,"21","ed-daigneault","Week 14"
1,"Alabama","12-0",1525,"1","ed-johnson","Week 14"
2,"Clemson","11-1",1383,"4","ed-johnson","Week 14"
3,"Ohio State","11-1",1456,"2","ed-johnson","Week 14"
4,"Washington","11-1",1298,"6","ed-johnson","Week 14"
5,"Michigan","10-2",1264,"3","ed-johnson","Week 14"
6,"USC","9-3",948,"12","ed-johnson","Week 14"
7,"Wisconsin","10-2",1237,"5","ed-johnson","Week 14"
8,"Oklahoma","9-2",1141,"7","ed-johnson","Week 14"
9,"Penn State","10-2",1118,"8","ed-johnson","Week 14"
10,"Florida State","9-3",847,"15","ed-johnson","Week 14"
11,"Colorado","10-2",1035,"9","ed-johnson","Week 14"
12,"Oklahoma State","9-2",931,"10","ed-johnson","Week 14"
13,"LSU","7-4",338,"25","ed-johnson","Week 14"
14,"Florida","8-3",471,"13","ed-johnson","Week 14"
15,"West Virginia","9-2",726,"19","ed-johnson","Week 14"
16,"Nebraska","9-3",181,"17","ed-johnson","Week 14"
17,"Auburn","8-4",423,"16","ed-johnson","Week 14"
18,"Louisville","9-3",468,"11","ed-johnson","Week 14"
19,"Texas A&M","8-4",33,"22","ed-johnson","Week 14"
20,"Western Michigan","12-0",807,"14","ed-johnson","Week 14"
21,"Pittsburgh","8-4",168,"-","ed-johnson","Week 14"
22,"Iowa","8-4",217,"-","ed-johnson","Week 14"
23,"Stanford","9-3",452,"-","ed-johnson","Week 14"
24,"South Florida","10-2",168,"-","ed-johnson","Week 14"
25,"Navy","9-2",387,"-","ed-johnson","Week 14"
1,"Alabama","12-0",1525,"1","eric-hansen","Week 14"
2,"Ohio State","11-1",1456,"2","eric-hansen","Week 14"
3,"Michigan","10-2",1264,"3","eric-hansen","Week 14"
4,"Wisconsin","10-2",1237,"5","eric-hansen","Week 14"
5,"Clemson","11-1",1383,"4","eric-hansen","Week 14"
6,"Washington","11-1",1298,"6","eric-hansen","Week 14"
7,"Penn State","10-2",1118,"8","eric-hansen","Week 14"
8,"USC","9-3",948,"12","eric-hansen","Week 14"
9,"Colorado","10-2",1035,"9","eric-hansen","Week 14"
10,"Oklahoma","9-2",1141,"7","eric-hansen","Week 14"
11,"Florida State","9-3",847,"15","eric-hansen","Week 14"
12,"Western Michigan","12-0",807,"14","eric-hansen","Week 14"
13,"Oklahoma State","9-2",931,"10","eric-hansen","Week 14"
14,"Stanford","9-3",452,"-","eric-hansen","Week 14"
15,"Virginia Tech","9-3",420,"-","eric-hansen","Week 14"
16,"Louisville","9-3",468,"11","eric-hansen","Week 14"
17,"Pittsburgh","8-4",168,"-","eric-hansen","Week 14"
18,"West Virginia","9-2",726,"19","eric-hansen","Week 14"
19,"LSU","7-4",338,"25","eric-hansen","Week 14"
20,"Navy","9-2",387,"-","eric-hansen","Week 14"
21,"Auburn","8-4",423,"16","eric-hansen","Week 14"
22,"Utah","8-4",88,"21","eric-hansen","Week 14"
23,"South Florida","10-2",168,"-","eric-hansen","Week 14"
24,"Iowa","8-4",217,"-","eric-hansen","Week 14"
25,"Houston","9-3",98,"18","eric-hansen","Week 14"
1,"Alabama","12-0",1525,"1","ferd-lewis","Week 14"
2,"Ohio State","11-1",1456,"2","ferd-lewis","Week 14"
3,"Clemson","11-1",1383,"4","ferd-lewis","Week 14"
4,"Washington","11-1",1298,"6","ferd-lewis","Week 14"
5,"Michigan","10-2",1264,"3","ferd-lewis","Week 14"
6,"Wisconsin","10-2",1237,"5","ferd-lewis","Week 14"
7,"Oklahoma","9-2",1141,"7","ferd-lewis","Week 14"
8,"Penn State","10-2",1118,"8","ferd-lewis","Week 14"
9,"Colorado","10-2",1035,"9","ferd-lewis","Week 14"
10,"Oklahoma State","9-2",931,"10","ferd-lewis","Week 14"
11,"USC","9-3",948,"12","ferd-lewis","Week 14"
12,"Florida State","9-3",847,"15","ferd-lewis","Week 14"
13,"Western Michigan","12-0",807,"14","ferd-lewis","Week 14"
14,"West Virginia","9-2",726,"19","ferd-lewis","Week 14"
15,"Louisville","9-3",468,"11","ferd-lewis","Week 14"
16,"LSU","7-4",338,"25","ferd-lewis","Week 14"
17,"Virginia Tech","9-3",420,"-","ferd-lewis","Week 14"
18,"Navy","9-2",387,"-","ferd-lewis","Week 14"
19,"Stanford","9-3",452,"-","ferd-lewis","Week 14"
20,"Florida","8-3",471,"13","ferd-lewis","Week 14"
21,"Nebraska","9-3",181,"17","ferd-lewis","Week 14"
22,"South Florida","10-2",168,"-","ferd-lewis","Week 14"
23,"Auburn","8-4",423,"16","ferd-lewis","Week 14"
24,"Iowa","8-4",217,"-","ferd-lewis","Week 14"
25,"Houston","9-3",98,"18","ferd-lewis","Week 14"
1,"Alabama","12-0",1525,"1","garland-gillen","Week 14"
2,"Ohio State","11-1",1456,"2","garland-gillen","Week 14"
3,"Clemson","11-1",1383,"4","garland-gillen","Week 14"
4,"USC","9-3",948,"12","garland-gillen","Week 14"
5,"Michigan","10-2",1264,"3","garland-gillen","Week 14"
