"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Miami","9-4",338,16,20,,21,20,23,25,20,20,20,25,18,23,22,22,21,24,23,21,,13,18,22,20,20,20,17,20,17,18,12,19,21,23,18,17,18,21,24,23,24,19,17,,17,19,17,22,21,22,19,17,14,,19,18,23,,13,25,15,22
"Louisville","9-4",277,16,21,,18,18,21,,21,24,23,16,22,16,19,,19,15,19,23,16,24,24,19,23,,15,21,18,21,,22,23,15,18,,20,,23,22,25,,23,23,22,,14,19,25,20,,21,21,18,19,,16,,20,25,23,20,19
"Tennessee","9-4",253,16,22,24,19,21,15,22,22,,19,23,21,20,,23,18,22,18,18,22,,,16,19,,17,24,24,23,24,24,,20,22,19,22,,24,,22,22,21,20,,25,21,24,14,17,20,25,,21,22,24,17,24,24,22,17,19,21
"Utah","9-4",222,16,23,16,25,,19,23,,,24,19,20,22,23,17,22,,17,24,21,23,21,18,,15,19,,23,24,21,,21,25,,20,25,,17,,24,17,22,,,,24,,21,19,19,23,,,21,22,15,22,,24,14,22,23
"Auburn","8-5",206,16,24,23,,15,,,,,22,20,,,21,21,,,22,19,17,,,20,22,17,23,,22,20,,19,17,12,20,17,18,,22,,,23,,,,,13,18,,16,23,,20,,,21,,20,19,,,,24
"San Diego State","11-3",113,16,25,21,,,,15,25,,,24,25,25,24,,,19,,25,,22,20,,,23,,18,,,,,,,24,,24,22,25,20,20,,24,19,20,22,,,,24,,,,23,23,,23,25,22,23,,25,25
"Kansas State","9-4",83,16,,25,24,22,,,,21,,,24,,,24,,21,,,25,25,,,24,,,23,,22,23,20,24,23,,,,24,,18,,18,,,,18,,23,24,,,,,,,25,21,,,,,,
"Georgia Tech","9-4",47,16,,,23,,25,,24,,25,,,,25,,,23,,,24,,,,25,22,25,,,,,,25,,,,,,,25,,25,,25,,24,,25,23,,25,,,24,24,,,21,25,21,,24,
"Nebraska","9-4",38,16,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,24,25,,,,,,,,25,,21,,22,,,,,,15,,,,,,21,,22,,
"Western Kentucky","11-3",32,16,,,,,,16,,23,,,,,,,25,,,,,21,25,25,,,,,,,,25,,,,,,23,,23,,,,24,25,,,,,,,,,,25,,,,,,,,
"Air Force","10-3",30,16,,,,,,,,25,,,,,,25,,,,,,,22,,,,,25,25,,,,,,,21,,21,,,16,,,,24,,,,,,,,,,,,,,,,,,
"Pittsburgh","8-5",21,16,,,,,24,,,,,,,,,18,,,25,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,17,,,,,,,,,,,,
"Boise State","10-3",19,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,24,22,,,,,,,,21,,
"Iowa","8-5",14,16,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,20,,,,,23,,,,,,,,,,,,,,,,,23,,,,,,,,,,
"Minnesota","9-4",12,16,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,25,,18,,,,,,,
"Tulsa","10-3",10,16,,,,,,,23,22,,,,,,,24,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brigham Young","9-4",9,16,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,24,,,,,,
