"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Baylor","5-0",805,"Week 6",13,11,11,20,13,12,12,13,10,10,13,12,14,17,14,13,23,10,12,12,13,12,12,12,11,14,12,13,12,12,18,21,10,16,11,14,11,10,10,10,12,13,14,16,13,14,13,12,9,13,14,9,14,9,11,15,10,15,13,14,14,8
"Mississippi","3-2",712,"Week 6",14,10,17,10,17,14,22,18,14,14,15,13,12,13,13,9,14,14,19,13,14,15,15,14,13,15,14,11,14,14,14,15,11,10,14,18,14,14,22,16,15,15,12,14,17,21,11,16,15,11,13,18,13,15,12,12,15,11,15,16,13,16
"Stanford","3-1",711,"Week 6",15,15,14,15,14,13,14,15,12,17,12,14,15,16,10,15,12,18,15,14,19,14,14,16,,12,15,14,16,13,15,13,13,14,15,11,13,15,14,15,14,12,13,11,11,11,14,17,13,14,17,15,15,14,15,16,14,12,10,13,17,20
"Arkansas","4-1",528,"Week 6",16,16,15,,15,24,15,20,22,15,18,17,18,14,16,16,21,15,14,16,17,16,23,15,20,16,16,17,17,15,13,10,19,17,16,21,16,22,21,19,16,16,17,15,21,15,17,15,19,16,16,20,16,16,23,,18,16,18,15,15,13
"North Carolina","4-1",497,"Week 6",17,17,18,14,16,18,16,14,18,19,16,20,16,18,21,18,16,16,17,18,15,20,16,20,17,20,17,18,15,19,21,19,16,,20,13,18,19,18,17,18,18,19,20,15,16,22,19,18,18,19,17,21,17,18,18,17,18,16,19,19,17
"Florida","4-1",391,"Week 6",18,25,,21,19,16,17,22,23,16,24,16,17,22,19,21,,17,,19,16,18,22,17,16,19,21,16,22,18,22,20,20,19,24,20,17,16,19,21,23,17,23,17,,17,18,25,16,22,18,16,18,20,20,20,16,21,19,17,16,15
"Boise State","4-0",385,"Week 6",19,19,19,19,20,20,18,17,17,18,21,19,20,19,17,22,17,21,23,17,18,22,,22,22,22,18,22,18,20,17,22,17,,22,12,22,17,16,13,24,21,,19,19,19,19,22,17,,15,19,19,19,16,17,21,22,,18,22,18
"Oklahoma","2-2",324,"Week 6",20,23,16,16,25,19,23,,15,21,22,18,25,15,20,20,15,19,,21,25,,19,18,15,24,24,19,24,22,20,12,,12,18,,19,18,23,18,21,20,15,18,,,23,21,20,17,23,,20,18,17,,20,17,20,23,,
"Colorado","4-1",276,"Week 6",21,18,23,25,18,21,19,23,20,23,17,22,21,20,,23,18,23,16,20,24,21,24,,24,17,19,21,21,,23,18,23,,23,22,24,20,,,22,23,16,23,18,24,21,14,22,19,21,24,24,25,21,14,24,20,25,21,18,21
"West Virginia","4-0",240,"Week 6",22,,22,,22,17,,16,,22,19,24,22,21,18,,24,22,18,23,22,25,20,,25,18,20,24,19,,19,,22,23,,19,20,23,15,,17,,,,16,20,20,,24,,20,21,23,23,19,23,23,,17,20,21,19
"Florida State","3-2",230,"Week 6",23,20,21,22,,,21,21,19,24,25,21,24,24,25,19,19,20,22,22,23,17,17,24,18,,22,20,23,25,25,23,,,21,17,21,21,25,23,20,19,20,24,,18,,,,21,24,,22,22,22,19,19,19,21,22,25,25
"Utah","4-1",86,"Week 6",24,22,20,,,,,25,,20,23,,19,,23,,,25,,24,21,23,25,25,,,,,20,23,,,,,,,,,20,,25,24,,,22,,,24,,,,,17,,,,,,,,20,22
"Virginia Tech","3-1",85,"Week 6",25,,,18,24,,20,19,,,20,,,,,,22,,20,,,,,,,23,,,,,,,21,20,,,,,,,,,,,20,,,18,,23,,23,,24,,24,22,,,,24,24
"Western Michigan","5-0",76,"Week 6",,,,,21,25,,,,,,25,23,23,,,20,,25,,,,18,21,,,,25,,,,,,24,17,24,25,25,,24,,,,21,25,,,23,23,25,25,25,25,,,25,,25,22,,,23
"UCLA","3-2",56,"Week 6",,,24,17,,,,,25,,,,,,,,,,,,,,21,23,,21,,,,21,24,14,,,,,,,,25,,22,,,,22,,,,,,,,,,,25,,,24,,
"LSU","3-2",49,"Week 6",,,,,,,,,,,,,,,,,,,,,,19,,,23,,,23,25,,,,25,22,,,,,,22,19,,21,,23,,24,,,24,,,,,24,22,,,,25,,
"Auburn","3-2",46,"Week 6",,,,24,,,,,24,,,,,,,,,,,25,,,,,19,,,,,,,,,21,,,,24,,,,,,,,,16,20,,20,,,,,,21,,,,,,
"North Dakota State","3-2",46,"Week 6",,21,25,,,22,25,,,25,,,,25,24,25,,,,,20,,,,,,,,,,,,,18,,25,,,17,,,,,,,25,,,,,,,,,,,,24,23,,,
"Georgia","3-2",42,"Week 6",,,,,,,,,,,,,,,,17,,,,,,24,,19,,,,,,17,,24,,25,19,,,,24,,,,24,,,,25,,,,,,,,,,,,,,,
"Oklahoma State","3-2",41,"Week 6",,24,,23,,,,,,,,,,,,,,24,,,,,,,21,25,23,,,,,,18,,,,,,,20,,,22,,,,,,,,,,,21,,,,,24,,,
"TCU","3-2",26,"Week 6",,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,24,,25,,,,,,,,,,25,,,,,,,21,,,14,,,,,,,,,,
"Maryland","4-0",23,"Week 6",,,,,,,,,,,,,,,,,,,21,,,,,,,,25,,,,,,,,25,,23,,,,,,,,24,23,,,,,,22,,,25,,,,,,23,
"Air Force","4-0",17,"Week 6",,,,,23,23,,24,,,,,,,,,,,24,,,,,,,,,,,,,,,,,23,,,,,,,,22,,,,,,,,,,,,,,,,,,
"San Diego State","3-1",10,"Week 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michigan State","2-2",7,"Week 6",,,,,,,,,,,,23,,,,24,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"South Florida","4-1",6,"Week 6",,,,,,,,,,,,,,,22,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,
"Arizona State","4-1",4,"Week 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,
"California","3-2",3,"Week 6",,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,
"Indiana","3-1",3,"Week 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,
"Texas","2-2",1,"Week 6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,
