"Rank","Team","Record","Points","PV.Rank","Voter","Week"
9,"Notre Dame","10-3",1006,"11","chuck-carlton","Pre-Season"
10,"Tennessee","9-4",1021,"22","chuck-carlton","Pre-Season"
11,"Stanford","12-2",1029,"3","chuck-carlton","Pre-Season"
12,"Houston","13-1",644,"8","chuck-carlton","Pre-Season"
13,"Michigan State","12-2",710,"6","chuck-carlton","Pre-Season"
14,"Iowa","12-2",484,"9","chuck-carlton","Pre-Season"
15,"Oklahoma State","10-3",316,"20","chuck-carlton","Pre-Season"
16,"Louisville","8-5",447,"-","chuck-carlton","Pre-Season"
17,"North Carolina","11-3",283,"15","chuck-carlton","Pre-Season"
18,"UCLA","8-5",496,"-","chuck-carlton","Pre-Season"
19,"Washington","7-6",651,"-","chuck-carlton","Pre-Season"
20,"Georgia","10-3",448,"-","chuck-carlton","Pre-Season"
21,"Baylor","10-3",280,"13","chuck-carlton","Pre-Season"
22,"Mississippi","10-3",718,"10","chuck-carlton","Pre-Season"
23,"Texas A&M","8-5",81,"-","chuck-carlton","Pre-Season"
24,"Utah","10-3",74,"-","chuck-carlton","Pre-Season"
25,"Washington State","9-4",68,"-","chuck-carlton","Pre-Season"
1,"Alabama","14-1",1469,"1","dana-sulonen","Pre-Season"
2,"Clemson","14-1",1443,"2","dana-sulonen","Pre-Season"
3,"Oklahoma","11-2",1352,"5","dana-sulonen","Pre-Season"
4,"Florida State","10-3",1325,"14","dana-sulonen","Pre-Season"
5,"Michigan","10-3",1147,"12","dana-sulonen","Pre-Season"
6,"Ohio State","12-1",1224,"4","dana-sulonen","Pre-Season"
7,"LSU","9-3",1269,"16","dana-sulonen","Pre-Season"
8,"Stanford","12-2",1029,"3","dana-sulonen","Pre-Season"
9,"Notre Dame","10-3",1006,"11","dana-sulonen","Pre-Season"
10,"Tennessee","9-4",1021,"22","dana-sulonen","Pre-Season"
11,"USC","8-6",344,"-","dana-sulonen","Pre-Season"
12,"Mississippi","10-3",718,"10","dana-sulonen","Pre-Season"
13,"Oklahoma State","10-3",316,"20","dana-sulonen","Pre-Season"
14,"Houston","13-1",644,"8","dana-sulonen","Pre-Season"
15,"Michigan State","12-2",710,"6","dana-sulonen","Pre-Season"
16,"Georgia","10-3",448,"-","dana-sulonen","Pre-Season"
17,"Baylor","10-3",280,"13","dana-sulonen","Pre-Season"
18,"Oregon","9-4",218,"19","dana-sulonen","Pre-Season"
19,"TCU","11-2",707,"7","dana-sulonen","Pre-Season"
20,"Washington","7-6",651,"-","dana-sulonen","Pre-Season"
21,"UCLA","8-5",496,"-","dana-sulonen","Pre-Season"
22,"North Carolina","11-3",283,"15","dana-sulonen","Pre-Season"
23,"Iowa","12-2",484,"9","dana-sulonen","Pre-Season"
24,"Louisville","8-5",447,"-","dana-sulonen","Pre-Season"
25,"Miami","8-5",159,"-","dana-sulonen","Pre-Season"
1,"Clemson","14-1",1443,"2","dave-southorn","Pre-Season"
2,"Alabama","14-1",1469,"1","dave-southorn","Pre-Season"
3,"Ohio State","12-1",1224,"4","dave-southorn","Pre-Season"
4,"Oklahoma","11-2",1352,"5","dave-southorn","Pre-Season"
5,"Florida State","10-3",1325,"14","dave-southorn","Pre-Season"
6,"Michigan","10-3",1147,"12","dave-southorn","Pre-Season"
7,"Stanford","12-2",1029,"3","dave-southorn","Pre-Season"
8,"LSU","9-3",1269,"16","dave-southorn","Pre-Season"
9,"Notre Dame","10-3",1006,"11","dave-southorn","Pre-Season"
10,"Mississippi","10-3",718,"10","dave-southorn","Pre-Season"
11,"TCU","11-2",707,"7","dave-southorn","Pre-Season"
12,"Michigan State","12-2",710,"6","dave-southorn","Pre-Season"
13,"Iowa","12-2",484,"9","dave-southorn","Pre-Season"
14,"Tennessee","9-4",1021,"22","dave-southorn","Pre-Season"
15,"Houston","13-1",644,"8","dave-southorn","Pre-Season"
16,"USC","8-6",344,"-","dave-southorn","Pre-Season"
17,"Washington","7-6",651,"-","dave-southorn","Pre-Season"
18,"Miami","8-5",159,"-","dave-southorn","Pre-Season"
19,"Georgia","10-3",448,"-","dave-southorn","Pre-Season"
20,"Baylor","10-3",280,"13","dave-southorn","Pre-Season"
21,"UCLA","8-5",496,"-","dave-southorn","Pre-Season"
22,"Wisconsin","10-3",42,"-","dave-southorn","Pre-Season"
23,"Florida","10-4",180,"25","dave-southorn","Pre-Season"
24,"North Carolina","11-3",283,"15","dave-southorn","Pre-Season"
25,"Oklahoma State","10-3",316,"20","dave-southorn","Pre-Season"
1,"Alabama","14-1",1469,"1","david-briggs","Pre-Season"
2,"Clemson","14-1",1443,"2","david-briggs","Pre-Season"
3,"Michigan","10-3",1147,"12","david-briggs","Pre-Season"
4,"Oklahoma","11-2",1352,"5","david-briggs","Pre-Season"
5,"Ohio State","12-1",1224,"4","david-briggs","Pre-Season"
6,"Florida State","10-3",1325,"14","david-briggs","Pre-Season"
7,"LSU","9-3",1269,"16","david-briggs","Pre-Season"
8,"Notre Dame","10-3",1006,"11","david-briggs","Pre-Season"
9,"Stanford","12-2",1029,"3","david-briggs","Pre-Season"
10,"Tennessee","9-4",1021,"22","david-briggs","Pre-Season"
11,"Mississippi","10-3",718,"10","david-briggs","Pre-Season"
12,"Houston","13-1",644,"8","david-briggs","Pre-Season"
13,"Georgia","10-3",448,"-","david-briggs","Pre-Season"
14,"Michigan State","12-2",710,"6","david-briggs","Pre-Season"
15,"Iowa","12-2",484,"9","david-briggs","Pre-Season"
16,"UCLA","8-5",496,"-","david-briggs","Pre-Season"
17,"Oklahoma State","10-3",316,"20","david-briggs","Pre-Season"
18,"TCU","11-2",707,"7","david-briggs","Pre-Season"
19,"Washington","7-6",651,"-","david-briggs","Pre-Season"
20,"North Carolina","11-3",283,"15","david-briggs","Pre-Season"
21,"USC","8-6",344,"-","david-briggs","Pre-Season"
22,"Louisville","8-5",447,"-","david-briggs","Pre-Season"
23,"Oregon","9-4",218,"19","david-briggs","Pre-Season"
24,"Washington State","9-4",68,"-","david-briggs","Pre-Season"
25,"Baylor","10-3",280,"13","david-briggs","Pre-Season"
1,"Florida State","10-3",1325,"14","ed-daigneault","Pre-Season"
2,"Alabama","14-1",1469,"1","ed-daigneault","Pre-Season"
3,"Clemson","14-1",1443,"2","ed-daigneault","Pre-Season"
4,"LSU","9-3",1269,"16","ed-daigneault","Pre-Season"
5,"Oklahoma","11-2",1352,"5","ed-daigneault","Pre-Season"
6,"Michigan","10-3",1147,"12","ed-daigneault","Pre-Season"
7,"Ohio State","12-1",1224,"4","ed-daigneault","Pre-Season"
8,"TCU","11-2",707,"7","ed-daigneault","Pre-Season"
9,"Stanford","12-2",1029,"3","ed-daigneault","Pre-Season"
10,"Tennessee","9-4",1021,"22","ed-daigneault","Pre-Season"
11,"Notre Dame","10-3",1006,"11","ed-daigneault","Pre-Season"
12,"Houston","13-1",644,"8","ed-daigneault","Pre-Season"
13,"Louisville","8-5",447,"-","ed-daigneault","Pre-Season"
14,"Washington","7-6",651,"-","ed-daigneault","Pre-Season"
15,"Iowa","12-2",484,"9","ed-daigneault","Pre-Season"
16,"USC","8-6",344,"-","ed-daigneault","Pre-Season"
17,"Michigan State","12-2",710,"6","ed-daigneault","Pre-Season"
18,"Texas A&M","8-5",81,"-","ed-daigneault","Pre-Season"
19,"Florida","10-4",180,"25","ed-daigneault","Pre-Season"
20,"Utah","10-3",74,"-","ed-daigneault","Pre-Season"
21,"Oklahoma State","10-3",316,"20","ed-daigneault","Pre-Season"
22,"Mississippi","10-3",718,"10","ed-daigneault","Pre-Season"
23,"UCLA","8-5",496,"-","ed-daigneault","Pre-Season"
24,"Washington State","9-4",68,"-","ed-daigneault","Pre-Season"
25,"North Carolina","11-3",283,"15","ed-daigneault","Pre-Season"
1,"Alabama","14-1",1469,"1","ed-johnson","Pre-Season"
2,"LSU","9-3",1269,"16","ed-johnson","Pre-Season"
3,"Oklahoma","11-2",1352,"5","ed-johnson","Pre-Season"
4,"Tennessee","9-4",1021,"22","ed-johnson","Pre-Season"
5,"Clemson","14-1",1443,"2","ed-johnson","Pre-Season"
6,"Florida State","10-3",1325,"14","ed-johnson","Pre-Season"
7,"Ohio State","12-1",1224,"4","ed-johnson","Pre-Season"
8,"TCU","11-2",707,"7","ed-johnson","Pre-Season"
9,"Mississippi","10-3",718,"10","ed-johnson","Pre-Season"
10,"Notre Dame","10-3",1006,"11","ed-johnson","Pre-Season"
11,"Michigan","10-3",1147,"12","ed-johnson","Pre-Season"
12,"Baylor","10-3",280,"13","ed-johnson","Pre-Season"
13,"Stanford","12-2",1029,"3","ed-johnson","Pre-Season"
14,"Washington","7-6",651,"-","ed-johnson","Pre-Season"
15,"Michigan State","12-2",710,"6","ed-johnson","Pre-Season"
16,"USC","8-6",344,"-","ed-johnson","Pre-Season"
17,"Florida","10-4",180,"25","ed-johnson","Pre-Season"
18,"Texas A&M","8-5",81,"-","ed-johnson","Pre-Season"
19,"UCLA","8-5",496,"-","ed-johnson","Pre-Season"
20,"Miami","8-5",159,"-","ed-johnson","Pre-Season"
21,"North Carolina","11-3",283,"15","ed-johnson","Pre-Season"
22,"Arkansas","8-5",14,"-","ed-johnson","Pre-Season"
23,"Georgia","10-3",448,"-","ed-johnson","Pre-Season"
24,"Oklahoma State","10-3",316,"20","ed-johnson","Pre-Season"
25,"San Diego State","11-3",46,"-","ed-johnson","Pre-Season"
1,"Clemson","14-1",1443,"2","eric-hansen","Pre-Season"
2,"Alabama","14-1",1469,"1","eric-hansen","Pre-Season"
3,"LSU","9-3",1269,"16","eric-hansen","Pre-Season"
4,"Oklahoma","11-2",1352,"5","eric-hansen","Pre-Season"
5,"Ohio State","12-1",1224,"4","eric-hansen","Pre-Season"
6,"Stanford","12-2",1029,"3","eric-hansen","Pre-Season"
7,"Florida State","10-3",1325,"14","eric-hansen","Pre-Season"
8,"Georgia","10-3",448,"-","eric-hansen","Pre-Season"
9,"Notre Dame","10-3",1006,"11","eric-hansen","Pre-Season"
10,"Michigan","10-3",1147,"12","eric-hansen","Pre-Season"
11,"Houston","13-1",644,"8","eric-hansen","Pre-Season"
12,"UCLA","8-5",496,"-","eric-hansen","Pre-Season"
13,"Tennessee","9-4",1021,"22","eric-hansen","Pre-Season"
14,"Michigan State","12-2",710,"6","eric-hansen","Pre-Season"
15,"Washington","7-6",651,"-","eric-hansen","Pre-Season"
16,"TCU","11-2",707,"7","eric-hansen","Pre-Season"
17,"Louisville","8-5",447,"-","eric-hansen","Pre-Season"
18,"Mississippi","10-3",718,"10","eric-hansen","Pre-Season"
19,"USC","8-6",344,"-","eric-hansen","Pre-Season"
20,"Miami","8-5",159,"-","eric-hansen","Pre-Season"
21,"Oklahoma State","10-3",316,"20","eric-hansen","Pre-Season"
22,"Utah","10-3",74,"-","eric-hansen","Pre-Season"
23,"Boise State","9-4",49,"-","eric-hansen","Pre-Season"
24,"South Florida","8-5",2,"-","eric-hansen","Pre-Season"
25,"Nebraska","6-7",11,"-","eric-hansen","Pre-Season"
1,"Alabama","14-1",1469,"1","ferd-lewis","Pre-Season"
2,"Clemson","14-1",1443,"2","ferd-lewis","Pre-Season"
3,"Oklahoma","11-2",1352,"5","ferd-lewis","Pre-Season"
4,"Michigan","10-3",1147,"12","ferd-lewis","Pre-Season"
5,"Florida State","10-3",1325,"14","ferd-lewis","Pre-Season"
