"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jonny-miller","jon-wilner","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","robert-cessna","robert-gagliardi","rob-long","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Auburn","6-2",927,"Week 10",11,13,9,12,11,16,9,10,10,11,9,9,12,9,12,9,9,11,12,9,11,11,9,10,12,11,11,11,9,10,11,11,8,12,11,10,11,12,13,16,9,10,10,10,9,12,9,6,11,9,10,13,10,15,10,9,13,13,13,16,9,11
"Oklahoma","6-2",835,"Week 10",12,14,17,8,17,11,12,11,9,12,11,11,11,11,11,14,12,12,11,8,15,14,17,11,15,12,13,14,10,12,13,10,10,14,13,9,10,9,14,8,16,12,16,11,19,15,13,12,10,11,11,14,13,12,9,16,14,10,11,12,13,15
"Baylor","6-1",693,"Week 10",13,11,18,20,14,12,13,22,12,13,13,14,13,19,14,17,,13,14,13,13,13,14,15,9,15,12,16,12,15,18,20,,,14,16,17,13,11,12,11,14,12,14,10,8,15,15,15,,15,12,15,13,12,20,11,12,12,11,12,10
"West Virginia","6-1",620,"Week 10",14,12,12,21,13,15,15,13,18,14,15,15,16,18,18,16,19,15,17,15,14,12,16,22,17,14,24,13,14,14,17,19,24,,16,19,13,17,12,18,12,15,13,13,12,13,11,19,16,24,16,11,20,22,15,15,12,15,16,14,11,13
"LSU","5-2",586,"Week 10",15,15,15,19,15,20,23,16,21,17,20,16,14,12,15,10,21,14,13,22,12,16,11,18,18,19,14,10,17,17,12,23,21,13,18,22,21,14,15,11,14,13,18,15,13,23,14,14,17,12,20,21,14,19,14,10,16,19,21,17,15,21
"Utah","7-2",506,"Week 10",16,17,13,15,12,23,19,15,19,15,17,17,20,14,23,18,20,20,19,23,19,15,20,17,13,16,21,17,15,16,15,17,18,15,22,25,23,16,22,20,13,20,17,19,17,14,17,13,18,16,19,15,22,23,23,14,18,18,17,18,14,14
"Western Michigan","8-0",481,"Week 10",17,18,20,16,16,14,16,17,22,16,18,18,15,16,20,21,15,16,15,18,20,17,13,16,22,17,18,21,23,21,23,22,22,19,12,13,22,19,16,17,17,19,19,16,18,20,19,24,19,22,14,16,16,20,22,23,15,16,14,15,25,16
"North Carolina","6-2",423,"Week 10",18,21,23,17,23,18,25,21,14,22,19,21,,25,13,20,18,17,22,17,23,18,24,12,19,13,15,18,21,20,20,12,19,18,20,11,15,18,19,21,18,18,20,23,22,22,21,17,24,21,13,20,17,18,21,13,19,23,19,13,23,20
"Florida State","5-3",409,"Week 10",19,19,14,14,,,,25,16,18,,13,18,15,25,13,13,18,23,24,16,21,21,14,16,23,22,15,22,13,,18,13,11,23,17,16,15,25,15,22,21,15,20,15,,16,21,13,17,,19,,,18,17,23,14,20,20,24,24
"Penn State","6-2",390,"Week 10",20,24,21,,18,22,22,19,15,23,21,23,17,21,16,,16,21,20,14,18,20,22,21,20,21,16,22,19,22,14,,16,9,17,12,20,20,20,24,21,16,14,22,20,16,22,18,22,13,22,22,19,11,24,24,20,20,23,21,19,23
"Colorado","6-2",375,"Week 10",21,16,16,18,20,17,21,14,20,19,16,19,19,20,22,,22,19,18,,17,19,19,20,23,18,17,,18,25,22,13,14,20,21,,19,21,18,19,19,24,21,17,16,25,24,,14,23,21,25,18,17,16,12,22,25,22,22,21,18
"Oklahoma State","6-2",355,"Week 10",22,25,,13,21,13,14,24,17,24,14,25,24,17,17,15,24,23,16,,21,24,15,,14,20,20,20,20,23,16,16,20,25,15,18,18,24,23,14,,23,23,21,24,21,23,25,23,20,17,18,12,21,19,21,24,22,15,24,17,22
"Virginia Tech","6-2",345,"Week 10",23,22,19,22,19,19,20,20,25,21,23,22,21,24,19,19,14,22,21,16,24,23,18,,21,22,19,19,16,24,19,25,17,17,19,21,14,22,17,25,,17,22,24,21,19,20,16,21,15,23,24,,16,17,19,21,24,18,19,18,19
"Boise State","7-1",203,"Week 10",24,20,22,25,22,25,17,23,,20,22,20,22,23,21,25,,24,,19,22,22,,24,25,,25,24,25,19,24,24,,,,15,25,23,24,22,23,22,24,18,25,17,18,23,,,18,17,25,24,20,,17,21,24,25,,17
"Washington State","6-2",139,"Week 10",25,,24,23,,24,18,18,23,,24,24,23,22,24,,,25,,,25,,25,,,24,23,23,24,18,21,21,25,,24,23,24,25,,,25,,,,23,24,,,20,18,24,23,21,14,25,25,,17,25,,20,
"Houston","7-2",65,"Week 10",,,,,,21,,,,25,,,,,,24,17,,,20,,,,23,,,,,,,25,14,15,,,,,,,23,20,,,25,,,,22,,,,,,,,,25,,,,,
"USC","5-3",40,"Week 10",,23,,,,,,,24,,,,,,,,23,,,,,,,19,,,,,,,,,,21,,,,,,,,,25,,,,25,20,25,19,,,,,,22,,,,,,
"San Diego State","7-1",21,"Week 10",,,,,24,,,,,,25,,25,,,,,,24,21,,,,25,,,,,,,,,,24,,,,,,,,,,,,,,,,,25,,23,,,,,,,23,,
"Troy","6-1",20,"Week 10",,,25,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,21,,24,,,,,,,,,25,,,,25,,,,,,,22,25
"Tennessee","5-3",17,"Week 10",,,,24,,,,,,,,,,,,23,,,,,,25,23,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,
"South Florida","7-2",10,"Week 10",,,,,,,24,,,,,,,,,,25,,,25,,,,,,25,,25,,,,,,,25,24,,,,,,25,,,,,,,,,,,,,,,,,,,,
"Arkansas","5-3",7,"Week 10",,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Wyoming","6-2",5,"Week 10",,,,,,,,,,,,,,,,,,,25,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,
"Tulsa","6-2",3,"Week 10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
