"Team","Record","Points","Week","ap","adam-jude","adam-zucker","andy-greder","bill-landis","bob-asmussen","brent-axe","brett-mcmurphy","brian-howell","chris-murray","chuck-carlton","dana-sulonen","dave-southorn","david-briggs","ed-daigneault","ed-johnson","eric-hansen","ferd-lewis","garland-gillen","garry-smits","gary-horowitz","graham-watson","jason-galloway","jeff-miller","jerry-dipaola","jimmy-burch","joe-dubin","joe-walljasper","joey-knight","john-clay","john-shinn","jon-wilner","jonny-miller","josh-kendall","keith-sargeant","kirk-bohls","mandy-mitchell","marc-weiszer","marq-burnett","matt-charboneau","matt-galloway","matt-mccoy","matt-porter","michael-bonner","michael-lev","mike-barber","mitch-vingle","nathan-deen","pat-caputo","patrick-brown","pete-diprimio","rob-long","robert-cessna","robert-gagliardi","ross-dellenger","sam-mckewon","scott-hamilton","scott-wolf","steve-batterson","steve-wiseman","tom-murphy","tony-parks"
"Western Michigan","10-0",634,"Week 12",14,21,22,13,18,10,12,14,14,12,,14,10,12,13,23,13,12,12,12,12,16,10,13,18,14,16,20,19,20,19,22,19,,8,13,22,17,11,13,13,13,22,17,17,15,12,16,18,21,11,14,17,14,20,22,10,11,12,12,22,12
"USC","7-3",584,"Week 12",15,14,12,18,14,17,17,17,15,16,14,16,18,14,21,17,9,15,9,,13,14,17,9,16,22,17,17,13,22,15,15,17,8,16,7,14,16,16,18,24,17,14,22,14,22,22,9,15,8,23,15,20,17,19,10,22,22,,25,16,19
"LSU","6-3",582,"Week 12",16,19,14,9,21,22,23,18,19,20,17,19,15,15,22,10,18,20,16,23,20,13,8,15,11,17,19,12,14,18,14,13,18,12,15,20,13,14,20,12,14,15,18,13,20,24,15,10,17,10,20,16,13,20,15,15,14,16,23,24,17,17
"Florida State","7-3",569,"Week 12",17,18,15,11,15,18,22,21,17,13,22,17,22,17,20,9,12,19,17,14,14,18,21,12,14,19,21,15,18,10,17,16,12,6,22,17,20,13,21,9,15,20,19,14,15,,17,18,12,13,19,19,19,23,11,20,20,12,15,17,21,18
"Auburn","7-3",543,"Week 12",18,17,20,15,20,23,20,19,18,19,19,18,16,19,12,13,14,18,15,11,15,12,16,14,23,21,18,19,17,16,16,12,15,19,19,19,21,18,13,20,16,14,15,15,18,17,14,20,20,18,16,22,22,18,14,21,18,9,17,23,11,16
"Nebraska","8-2",504,"Week 12",19,15,18,17,17,13,21,13,23,22,16,13,12,18,18,12,15,16,22,20,23,17,19,20,19,18,20,21,20,14,23,11,21,15,17,23,23,21,17,23,21,19,13,11,24,10,18,,21,19,22,17,12,19,13,17,12,14,18,11,18,21
"Washington State","8-2",501,"Week 12",20,12,17,22,16,16,14,16,16,24,18,20,20,21,19,22,21,23,21,22,21,20,18,22,17,16,14,14,16,12,20,21,20,16,18,15,17,15,19,22,18,22,9,19,13,21,20,14,11,14,14,11,18,13,18,16,21,18,20,20,20,22
"Florida","7-2",435,"Week 12",21,16,21,14,,15,18,22,20,17,24,22,17,22,17,16,24,21,19,16,16,19,20,19,21,15,15,23,22,15,18,20,24,18,21,22,16,22,,11,23,18,21,12,21,19,21,22,13,,17,20,16,16,21,,16,17,13,16,13,14
"Boise State","9-1",315,"Week 12",22,22,24,23,22,21,13,20,,21,21,23,19,20,24,21,,22,24,13,19,21,24,17,20,23,22,18,21,17,24,,16,,24,14,25,23,18,19,20,23,23,18,19,20,19,23,23,20,15,21,21,22,22,23,15,19,19,21,23,20
"Texas A&M","7-3",238,"Week 12",23,23,19,20,19,25,19,,21,18,20,21,25,24,16,20,20,17,20,,,22,22,24,22,20,24,22,,23,,17,,,20,,,20,22,25,17,21,16,24,22,16,24,19,25,,,23,23,,23,18,24,25,21,22,19,24
"San Diego State","9-1",97,"Week 12",24,24,,24,25,24,24,23,25,23,23,,23,23,,,,,23,21,22,25,,25,,24,,25,25,24,22,,,22,23,,,,,,25,25,,,23,,,,22,24,21,,24,21,,24,,,22,18,25,23
"Troy","8-1",63,"Week 12",25,25,23,,23,,25,25,,,25,25,24,25,,25,,,25,,25,,25,,,,,,,25,25,,,21,,,24,,24,,22,,,,,,23,25,,,24,25,,25,25,,23,23,25,15,24,25
"Houston","8-2",49,"Week 12",,,,,,19,,,24,25,,,,,,,16,,,19,,,,,24,,23,,,,,,22,,,,,,,21,,,,25,,,,21,,,,,,24,,,,,,,,
"North Carolina","7-3",40,"Week 12",,,,25,,,,,22,,,,,,23,,,25,,,24,,,21,,,,,24,,,,,,,24,19,,25,,,,,,,25,,,,,,24,25,,,19,25,,,,,
"Virginia Tech","7-3",36,"Week 12",,,,,,,,,,,,24,,,25,24,,24,,,,24,,,25,,,24,23,,,25,,,25,,18,,23,,,,,,25,23,,24,,,,,,,24,,,,,,,
"Tennessee","7-3",21,"Week 12",,,,,,,,,,,,,,,,,23,,,,,,23,,,,25,,,,,,,,,,,24,,,,,,23,,18,,,,25,,,,,,,,,,,,
"Navy","7-2",20,"Week 12",,,,,24,,,,,,,,,,,,,,,25,,,,,,25,,,,,21,24,25,,,,,,,,,24,,,,,25,,,,25,,,,,,,24,24,,,
"Stanford","7-3",16,"Week 12",,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,23,20,,,,25,,24,,,,,,,,,24,,,,,,,25,,,,,,
"Western Kentucky","8-3",11,"Week 12",,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pittsburgh","6-4",9,"Week 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,22,,,,,,,,,,,,
"South Florida","8-2",8,"Week 12",,,25,,,,,24,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,
"Arkansas","6-4",7,"Week 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iowa","6-4",4,"Week 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,25,,,,,,,24,,,,,,,,,,,,,,,,,,,
"Mississippi","5-5",2,"Week 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Minnesota","7-3",1,"Week 12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,
